genre,map
'Wrestling','Sports'
Athletics','Sports'
'Artillery','Arcade'
'Light Gun','Shooting'
Boxing / Martial Arts','Sports'
'Volleyball','Sports'
'Old Jet','Simulation'
'Baseball','Sports'
'WWI','Shooting'
'Music','Arcade'
'Career','Simulation'
'Open-World','Arcade'
'Basketball','Sports'
'Modern Jet','Simulation'
'Demolition Derby','Racing'
'Ice Hockey','Sports'
'Biking','Sports'
'Civilian Plane','Simulation'
'Hunting','Shooting'
'Logic','Tactics'
'Skate / Skateboard','Sports'
'Defense','Tactics'
'Racing','Racing'
'Party / Minigame','Arcade'
'Sports','Sports'
'Football','Sports'
'Surfing','Sports'
'Small Spaceship','Arcade'
'Management','Simulation'
'Interactive Movie','Arcade'
'Party','Arcade'
'Pinball','Arcade'
'Billiards','Sports'
'Skiing','Sports'
'Rail','Arcade'
'Large Spaceship','Arcade'
'Driving','Racing'
'Adventure','Adventure'
'Horror','Arcade'
'Turn-Based','Tactics'
'Breeding/Constructing','Simulation'
'Hidden Object','Arcade'
'Motocross','Simulation'
'Rally / Offroad','Arcade'
'Fantasy','Arcade'
'Formula One','Racing'
'Linear',
'Command','Simulation'
'Metroidvania','Adventure'
'On-foot','Simulation'
'Application','Simulation'
'Bowling','Sports'
'Trainer','Simulation'
'Gambling','Arcade'
'Platformer','Action'
Car Combat',
'Sci-Fi','Adventure'
'Visual Novel','Arcade'
'Stock Car',
'Music Maker','Arcade'
'Fighting','Arcade'
'Horizontal','Arcade'
'Futuristic Sub','Simulation'
'Card Battle','Tactics'
'Pet','Simulation'
'First-Person',
'Nature',
'Third-Person',
'Virtual Life','Simulation'
'Skateboarding','Sports'
'Business / Tycoon','Simulation'
'WWII','Simulation'
'Ship','Simulation'
'Strategy','Tactics'
'Train','Arcade'
'Trivia / Game Show',
'Scrolling','Arcade'
'Massively Multiplayer',
'Skating','Sports'
'Role-Playing','Arcade'
'Truck','Simulation'
'Snow / Water','Adventure'
'Tycoon','Simulation'
'Submarine','Adventure'
'Tactical','Tactics'
'Parlor',
'Surf / Wakeboard','Sports'
'Sandbox','Arcade'
'Boxing','Sports'
'Space','Arcade'
'Shooter','Shooting'
'Other',
'Point-and-Click',
'Alternative','Tactics'
'Civilian','Simulation'
'Futuristic Jet','Simulation'
'Stacking','Tactics'
'Street','Arcade'
'Olympic Sports','Sports'
'Exercise / Fitness','Sports'
'Simulation','Simulation'
'GT / Street',
'Historic',
'Individual',
'Motorcycle','Racing'
'Horse Racing','Racing'
'Mission-based','Arcade'
Compilation',
'Ski / Snowboard','Sports'
'General',
'Action Adventure','Adventure'
Edutainment',
'Roguelike','Arcade'
'Modern',
'Matching',
'Military','Shooting'
'Board Games','Arcade'
Static',
'City Building',
"""Beat-'Em-Up""",'Arcade'
'Combat','Arcade'
'Fishing','Sports'
'Videos',
'Vertical','Arcade'
'Tank','Shooting'
'4X',
'Japanese-Style',
'Wakeboarding','Sports'
'Helicopter',
'Vehicle','Racing'
'Action','Action'
'Traditional',
'Text',
'Cricket',
'Survival','Arcade'
'Automobile','Racing'
'Golf','Sports'
'Soccer','Sports'
'Kart',
'Sim','Simulation'
'Tactics','Tactics'
'Rhythm','Arcade'
'Virtual',
'Western-Style',
'Marine','Shooting'
'Rugby','Sports'
'Top-Down',
'Arcade','Arcade'
'Action RPG','RPG'
'3D',
'Console-style RPG','RPG'
'PC-style RPG','RPG'
'Puzzle','Puzzle'
'Government','Simulation'
'Drag',
'Tennis','Sports'
'Mech',
'Real-Time',
'Dancing','Arcade'
'MOBA',
'2D',
Futuristic',
'Wargame','Simulation'
'Flight','Simulation'
"""Shoot-'Em-Up""",'Shooting'
'Miscellaneous',
'Massively Multiplayer Online',
'Snowboarding','Sports'
'Board / Card Game',
¡®Team','Arcade'
